        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 8.47400000e+00,        -1.068291609541e+00,        -1.309583583301e+02,        -6.629747811611e+00,        -2.563083552902e+01
 8.47500000e+00,        -1.823220628527e-01,        -1.463796056746e+02,        -1.394779322417e+01,        -4.179729205569e+01
 8.47600000e+00,        -2.886331606926e-02,        -1.616776762482e+02,        -2.229838243021e+01,        +1.217865328672e+02
 8.47700000e+00,        -4.407031310988e-01,        -1.747162431865e+02,        -1.018108418229e+01,        +1.083469096301e+02
 8.47800000e+00,        -1.138468887264e+00,        +1.751881529710e+02,        -6.379616486848e+00,        +9.772278378399e+01
 8.47900000e+00,        -1.917595197992e+00,        +1.676632593073e+02,        -4.477748922729e+00,        +8.971129451034e+01
 8.48000000e+00,        -2.675731350264e+00,        +1.620680950712e+02,        -3.375070140020e+00,        +8.367463862272e+01
 8.48100000e+00,        -3.373543800698e+00,        +1.578504815951e+02,        -2.676572793415e+00,        +7.905637800016e+01
 8.48200000e+00,        -4.001375192473e+00,        +1.546099200868e+02,        -2.204923029089e+00,        +7.545119036960e+01
 8.48300000e+00,        -4.561662083187e+00,        +1.520703405644e+02,        -1.870359393268e+00,        +7.257861840853e+01
 8.48400000e+00,        -5.061020616292e+00,        +1.500427718586e+02,        -1.623529253866e+00,        +7.024588133354e+01
 8.48500000e+00,        -5.506946438450e+00,        +1.483965216371e+02,        -1.435509923823e+00,        +6.831901952074e+01
 8.48600000e+00,        -5.906539876831e+00,        +1.470396680888e+02,        -1.288451303164e+00,        +6.670331331063e+01
 8.48700000e+00,        -6.266088391645e+00,        +1.459063328681e+02,        -1.170851679559e+00,        +6.533048404936e+01
 8.48800000e+00,        -6.590998556095e+00,        +1.449484138370e+02,        -1.075024584903e+00,        +6.415036271555e+01
 8.48900000e+00,        -6.885860968983e+00,        +1.441301609349e+02,        -9.956700449718e-01,        +6.312541223025e+01
 8.49000000e+00,        -7.154555790711e+00,        +1.434245654912e+02,        -9.290334462785e-01,        +6.222707207257e+01
 8.49100000e+00,        -7.400362352577e+00,        +1.428109125086e+02,        -8.723913155613e-01,        +6.143327406964e+01
 8.49200000e+00,        -7.626058193666e+00,        +1.422730945080e+02,        -8.237267080553e-01,        +6.072672566372e+01
 8.49300000e+00,        -7.834004089750e+00,        +1.417984281959e+02,        -7.815181695889e-01,        +6.009370169115e+01
 8.49400000e+00,        -8.026214885461e+00,        +1.413768115187e+02,        -7.445990595262e-01,        +5.952318061454e+01
 8.49500000e+00,        -8.204417893337e+00,        +1.410001135423e+02,        -7.120615692935e-01,        +5.900621706214e+01
 8.49600000e+00,        -8.370100685678e+00,        +1.406617267254e+02,        -6.831898992511e-01,        +5.853547958353e+01
 8.49700000e+00,        -8.524550111344e+00,        +1.403562339973e+02,        -6.574128610029e-01,        +5.810490569314e+01
 8.49800000e+00,        -8.668884427275e+00,        +1.400791579764e+02,        -6.342696729944e-01,        +5.770944058187e+01
 8.49900000e+00,        -8.804079485495e+00,        +1.398267701780e+02,        -6.133849214665e-01,        +5.734483776582e+01
 8.50000000e+00,        -8.930990402546e+00,        +1.395959440810e+02,        -5.944499524503e-01,        +5.700750472065e+01
 8.50100000e+00,        -9.050369428691e+00,        +1.393840411607e+02,        -5.772088811622e-01,        +5.669438248030e+01
 8.50200000e+00,        -9.162880849417e+00,        +1.391888211302e+02,        -5.614479241805e-01,        +5.640285059165e+01
 8.50300000e+00,        -9.269113352565e+00,        +1.390083713226e+02,        -5.469872047620e-01,        +5.613065171419e+01
 8.50400000e+00,        -9.369590417987e+00,        +1.388410502066e+02,        -5.336743737091e-01,        +5.587583111940e+01
